name,short_name,symbol,exchange,fractional
Amazon.com Inc.,Amazon,AMZN,NASDAQ,True
Apple Inc.,Apple,AAPL,NASDAQ,True
"Tesla, Inc.",Tesla,TSLA,NASDAQ,True
Netflix Inc.,Netflix,NFLX,NASDAQ,True
Wirecard AG,Wirecard,WDI,Deutsche Börse Xetra,True
Alphabet Inc. Class A,Alphabet Inc. Class A,GOOGL,NASDAQ,True
Barclays PLC,Barclays,BARC,London Stock Exchange,True
"Facebook, Inc.",Facebook,FB,NASDAQ,True
Microsoft Corp.,Microsoft,MSFT,NASDAQ,True
Alibaba Group,Alibaba,BABA,NYSE,True
Boeing Co.,Boeing,BA,NYSE,True
BP PLC,BP PLC,BP,London Stock Exchange,True
McDonald's Corp.,McDonald's,MCD,NYSE,True
"Nike, Inc.",Nike,NKE,NYSE,True
NIO Inc,NIO Inc,NIO,NYSE,True
Royal Dutch Shell PLC - Class A,Royal Dutch Shell,RDSA,London Stock Exchange,True
Snap Inc.,Snap Inc.,SNAP,NYSE,True
The Coca Cola Co.,Coca-Cola,KO,NYSE,True
The Walt Disney Co.,Walt Disney,DIS,NYSE,True
Beyond Meat Inc.,Beyond Meat,BYND,NASDAQ,True
"PayPal Holdings, Inc.",PayPal,PYPL,NASDAQ,True
"Peloton Interactive, Inc.",Peloton Interactive,PTON,NASDAQ,True
Lloyds Banking Group PLC,Lloyds Banking Group,LLOY,London Stock Exchange,True
Nikola Corporation,Nikola Corporation,NKLA,NASDAQ,True
Nvidia Corp.,Nvidia,NVDA,NASDAQ,True
Tesco PLC,Tesco,TSCO,London Stock Exchange,True
Vanguard S&P 500 ETF,Vanguard S&P 500 ETF,VUSA,London Stock Exchange,True
Aurora Cannabis Inc,Aurora Cannabis,ACB,NYSE,True
Bayerische Motoren Werke AG,BMW AG,BMW,Deutsche Börse Xetra,True
easyJet PLC,easyJet,EZJ,London Stock Exchange,True
"Hertz Global Holdings, Inc.",Hertz Global,HTZ,NYSE,False
Aston Martin Lagonda Global Holdings Plc,Aston Martin,AML,London Stock Exchange,True
Deutsche Lufthansa AG,Deutsche Lufthansa,LHA,Deutsche Börse Xetra,True
"Zoom Video Communications, Inc.",Zoom,ZM,NASDAQ,True
AstraZeneca PLC,AstraZeneca,AZN,London Stock Exchange,True
Electronic Arts,Electronic Arts,EA,NASDAQ,True
GlaxoSmithKline PLC,GlaxoSmithKline,GSK,London Stock Exchange,True
Greggs PLC,Greggs,GRG,London Stock Exchange,True
HSBC Holdings PLC,HSBC Holdings,HSBA,London Stock Exchange,True
