name,short_name,symbol,exchange,fractional
Amazon.com Inc.,Amazon,AMZN,NASDAQ,True
Apple Inc.,Apple,AAPL,NASDAQ,True
Netflix Inc.,Netflix,NFLX,NASDAQ,True
"Tesla, Inc.",Tesla,TSLA,NASDAQ,True
Wirecard AG,Wirecard,WDI,Deutsche Börse Xetra,True
Alphabet Inc. Class A,Alphabet,,NASDAQ,True
Barclays PLC,Barclays,BARC,London Stock Exchange,True
Boeing Co.,Boeing,BA,NYSE,True
"Facebook, Inc.",Facebook,FB,NASDAQ,True
Microsoft Corp.,Microsoft,MSFT,NASDAQ,True
Alibaba Group,Alibaba,BABA,NYSE,True
BP PLC,BP,BP,London Stock Exchange,True
McDonald's Corp.,McDonald's,MCD,NYSE,True
Royal Dutch Shell PLC - Class A,Royal,,London Stock Exchange,True
The Coca Cola Co.,Coca-Cola,KO,NYSE,True
Beyond Meat Inc.,Beyond,BYND,NASDAQ,True
Lloyds Banking Group PLC,Lloyds,,London Stock Exchange,True
"Nike, Inc.",Nike,NKE,NYSE,True
NIO Inc,NIO,NIO,NYSE,True
Snap Inc.,Snap,SNAP,NYSE,True
The Walt Disney Co.,Walt,DIS,NYSE,True
Vanguard S&P 500 ETF,Vanguard,,London Stock Exchange,True
easyJet PLC,easyJet,EZJ,London Stock Exchange,True
Nikola Corporation,Nikola,,NASDAQ,True
Nvidia Corp.,Nvidia,NVDA,NASDAQ,True
"PayPal Holdings, Inc.",PayPal,PYPL,NASDAQ,True
"Peloton Interactive, Inc.",Peloton,,NASDAQ,True
Tesco PLC,Tesco,TSCO,London Stock Exchange,True
AstraZeneca PLC,AstraZeneca,AZN,London Stock Exchange,True
Aston Martin Lagonda Global Holdings Plc,Aston,AML,London Stock Exchange,True
Bayerische Motoren Werke AG,BMW,BMW,Deutsche Börse Xetra,True
Deutsche Lufthansa AG,Deutsche,,Deutsche Börse Xetra,True
"Hertz Global Holdings, Inc.",Hertz,HTZ,NYSE,False
GlaxoSmithKline PLC,GlaxoSmithKline,,London Stock Exchange,True
Greggs PLC,Greggs,GRG,London Stock Exchange,True
Sony Corporation ADR,Sony,SNE,NYSE,True
"Zoom Video Communications, Inc.",Zoom,ZM,NASDAQ,True
Adidas AG,Adidas,ADS,Deutsche Börse Xetra,True
Aurora Cannabis Inc,Aurora,,NYSE,True
Bayer AG,Bayer,BAYN,Deutsche Börse Xetra,True
Electronic Arts,Electronic,EA,NASDAQ,True
HSBC Holdings PLC,HSBC,,London Stock Exchange,True
Twitter Inc.,Twitter,TWTR,NYSE,True
